RM,Oats_mean,Oats_std,Clusters_4,Clusters_6
222,69.55473684210527,24.377068999009214,2,2
223,42.23785714285714,14.774165694820875,3,0
224,51.355,7.835263237441357,3,0
225,43.422222222222224,13.625874080015727,3,0
226,48.952000000000005,19.500585038457313,3,0
228,42.955000000000005,18.453008761525616,3,0
229,52.43,23.210215423386312,3,5
230,35.785714285714285,16.559019553446653,3,0
231,48.846666666666664,16.76988595667842,3,0
232,55.48727272727273,16.152565796745165,1,5
241,72.2905,15.040035510526389,2,2
243,81.435,19.871691184353576,2,4
244,73.531,19.59279591020504,2,2
245,71.34750000000001,18.0107929265234,2,2
246,72.14699999999999,14.16078502878915,2,2
247,71.59450000000001,16.732156080591146,2,2
248,72.62578947368422,18.981737221688018,2,2
250,54.38916666666666,13.853914089745922,3,5
251,63.63950000000001,20.180473489568026,1,2
252,68.50187499999998,21.688068676501988,1,2
253,57.05533333333334,22.877332782431072,1,5
254,56.686666666666675,18.40773207106188,1,5
255,56.91833333333333,22.377215211148606,1,5
256,47.144615384615385,17.93444201129241,3,0
257,45.545555555555566,20.46800375654103,3,0
259,54.0975,19.424657194989496,1,5
260,63.36,25.776209961900918,1,2
261,40.26571428571429,27.634182852126493,3,0
271,87.25949999999999,20.096213436209425,2,1
273,82.0475,20.176911994445003,2,4
274,75.87000000000002,25.21417166261027,2,4
275,76.05894736842106,17.89818950953694,2,4
276,76.898,19.620772719372276,2,4
277,70.287,14.84429647692126,2,2
279,74.3,10.922820148661241,2,2
280,72.48125,19.936630900597688,2,2
281,71.6778947368421,17.12381531310102,2,2
282,57.3765,15.187500149447695,1,5
283,61.793684210526315,20.629229858659375,1,5
284,58.680526315789464,14.649606165993456,1,5
285,55.58599999999999,22.14261725603747,1,5
286,64.55555555555556,28.417033233217325,1,2
287,61.6625,15.152551647447744,1,2
288,54.19157894736841,26.244171472106142,1,5
290,45.361111111111114,19.340094651038065,3,0
292,41.14076923076922,14.94765113183253,3,0
3,62.178499999999985,9.842137805321938,1,2
301,79.59125,23.801791494199197,2,4
303,89.82050000000001,24.79173025850609,0,1
304,90.50450000000001,25.60834742094028,0,1
305,81.06611111111111,21.863007472706812,2,4
307,75.6825,18.065732282272332,2,4
308,82.62499999999997,24.857203657777163,2,4
